policy,draw,p_success,p_wrong,p_wrong_tier3,p_unresolved,e_attempts,e_retries_abstain,e_retries_parse,success_per_100_attempts,p_success_lo,p_success_hi,p_wrong_lo,p_wrong_hi,p_wrong_tier3_lo,p_wrong_tier3_hi,p_unresolved_lo,p_unresolved_hi,e_attempts_lo,e_attempts_hi,e_retries_abstain_lo,e_retries_abstain_hi,e_retries_parse_lo,e_retries_parse_hi,success_per_100_attempts_lo,success_per_100_attempts_hi,n_boot_dropped
gemini-3.7-flash:none,with_replacement,0.9892723410526104,0.005551381584439436,0.0,0.00517627736295016,1.1366149031125832,0.04425951423044902,0.09753166624508428,87.03672091079574,0.9648286395299268,0.9980376703175228,0.0,0.01960448102423411,0.0,0.0,0.001208014759036313,0.025415452653767878,1.0692312645397668,1.230794906670675,0.009114262040035959,0.10277157489911962,0.04839078621273715,0.1708929172948095,78.64882670059832,92.89242619118826,0
gemini-3.7-flash:advisory,with_replacement,0.9722357034936889,0.0,0.0,0.027764296506311046,1.3405115773649885,0.12675735436249072,0.24151851950880893,72.52721423001728,0.920227426000435,0.989765485038138,0.0,0.0,0.0,0.0,0.010234514961861998,0.07977257399956499,1.211857883452376,1.5114732620231888,0.05938221906881789,0.22667840860714727,0.13495881074121338,0.39573897204785075,60.746170615655714,81.58059478211534,0
gemini-3.7-flash:enforced,with_replacement,0.9907960334793994,0.005833124634777528,0.0,0.0033708418858231348,1.1216586729991096,0.066633771300812,0.058395743584120634,88.33311392584274,0.9684108825780918,0.9985283691345693,0.0,0.02140679552244174,0.0,0.0,0.0008528841146869952,0.01930343462431406,1.060464517221652,1.2114278941104712,0.01901111949647873,0.13637034579990262,0.025512028622439925,0.11431935002162076,80.75680878206263,93.6459801481977,0
gpt-5.6-luna:none,with_replacement,0.962974196927031,0.0,0.0,0.037025803072968995,1.4074930435129782,0.44451884658594726,0.0,68.4176878433113,0.8955907396483211,0.9849742845662922,0.0,0.0,0.0,0.0,0.015025715433707716,0.10440926035167877,1.2622647228264343,1.6079185239696352,0.2772767094772446,0.7098124555025841,0.0,0.0,55.82137309723843,78.03358960648605,0
gpt-5.6-luna:advisory,with_replacement,0.9696649702237402,0.0,0.0,0.030335029776259854,1.3749763488120594,0.4053113785883193,0.0,70.52230178806371,0.9084669216299306,0.9880241137037997,0.0,0.0,0.0,0.0,0.011975886296200196,0.09153307837006922,1.234333537279032,1.5736206323259905,0.24771025940778438,0.6645487513582082,0.0,0.0,57.84144978066943,79.94281564268631,0
gpt-5.6-luna:enforced,with_replacement,0.957923691876526,0.0,0.0,0.04207630812347404,1.4387143474615547,0.47282880568103025,0.007961849903998666,66.58192389383423,0.8828642136837435,0.9825991914610906,0.0,0.0,0.0,0.0,0.01740080853890927,0.1171357863162566,1.2812399366733278,1.6494587823658198,0.29103392086024654,0.7618492867141458,0.0,0.03178719900658673,53.56596738371656,76.74284622113998,0
glm-5.3-flash:none,with_replacement,0.9938705704147487,0.0,0.0,0.006129429585251354,1.1663997771146766,0.09819668427034782,0.0743325224295801,85.20839851952704,0.9774011482109785,0.9983304764064115,0.0,0.0,0.0,0.0,0.0016695235935884722,0.022598851789021473,1.0915962088876643,1.261098723214347,0.04742849179035457,0.1633445776882823,0.03370850312090861,0.13639762794621035,77.55757802539915,91.4258999376878,0
glm-5.3-flash:advisory,with_replacement,0.9822708132563677,0.0,0.0,0.0177291867436324,1.2785710689989775,0.19385600868614128,0.10244424705646872,76.8256718044942,0.9446459186961149,0.9945641782736788,0.0,0.0,0.0,0.0,0.0054358217263210905,0.05535408130388503,1.1619930835823882,1.433834584547911,0.09036192859166202,0.34488390589326035,0.05164912622143731,0.17191588256243204,66.02867225967995,85.47707114331455,0
glm-5.3-flash:enforced,with_replacement,0.9939554812412363,0.0,0.0,0.006044518758763427,1.1677524514781776,0.11208840080425395,0.06170856943268704,85.11696806827992,0.9741578325080857,0.9977262556978393,0.0,0.0,0.0,0.0,0.0022737443021607026,0.025842167491914186,1.1013595404062717,1.2604018997794655,0.06383329279860589,0.18204020927327375,0.023691785412854813,0.1268023835259344,77.36047208613124,90.55049455827206,0
deepseek-v4-flash:none,with_replacement,0.9654039973504219,0.025836881208782036,0.0,0.008759121440795962,1.176975112874752,0.16239175797172736,0.023342476343820584,82.02416404476305,0.9227171848667911,0.9856212163013784,0.006139658244250081,0.054946864958018884,0.0,0.0,0.002349744073672298,0.03665360499332876,1.0959840510584513,1.2951063842421777,0.07603974426826146,0.29781612467286206,0.00483056841563786,0.05475816495325005,71.8479982238111,89.10321900067942,0
deepseek-v4-flash:advisory,with_replacement,0.9703138302774766,0.024542950162784873,0.0,0.005143219559738432,1.125980547874344,0.11885229235269007,0.01227147508139244,86.17500827250176,0.933178426301132,0.9901867599856801,0.004828320750518383,0.053122515226337395,0.0,0.0,0.000908906048026355,0.028630087603899325,1.059053136453805,1.219680450003553,0.052980214683876564,0.23063296025136387,0.0,0.03896777226005609,77.00651621539788,92.704953616525,0
deepseek-v4-flash:enforced,with_replacement,0.9758428977375431,0.018407212622088654,0.0,0.005749889640368356,1.1431257062808877,0.1316797200091805,0.017195875912075467,85.36619309458166,0.941641407978084,0.9932065145289256,0.0,0.042719468739876906,0.0,0.0,0.0010161005056152411,0.027933242299373773,1.0642316611691904,1.251664474237973,0.05346207255638611,0.2543353848326795,0.0,0.0421043324323777,75.95509415202429,92.51410245640317,0
