model,contrast,endpoint,a,b,difference,lo,hi,n_boot_dropped
glm-5.3-flash,enforced_minus_advisory,p_success,0.9966999184390488,0.9876215571867745,0.009078361252274347,-0.003904920264075037,0.03449013181541306,0
glm-5.3-flash,enforced_minus_advisory,p_wrong,0.0,0.0,0.0,0.0,0.0,0
glm-5.3-flash,enforced_minus_advisory,p_wrong_tier3,0.0,0.0,0.0,0.0,0.0,0
glm-5.3-flash,enforced_minus_advisory,p_unresolved,0.003300081560951126,0.012378442813225421,-0.009078361252274295,-0.034490131815413154,0.003904920264074901,0
glm-5.3-flash,enforced_minus_advisory,e_attempts,1.1624526841918146,1.2709078361252273,-0.10845515193341271,-0.21831044476074732,-0.017456828206649216,0
glm-5.3-flash,enforced_minus_advisory,success_per_100_attempts,85.74111720787982,77.70992743249248,8.031189775387347,1.063248398331451,15.368225719242384,0
glm-5.3-flash,advisory_minus_none,p_success,0.9876215571867745,0.9964144551101073,-0.00879289792333282,-0.034936715467291046,0.0014515931550798664,0
glm-5.3-flash,advisory_minus_none,p_wrong,0.0,0.0,0.0,0.0,0.0,0
glm-5.3-flash,advisory_minus_none,p_wrong_tier3,0.0,0.0,0.0,0.0,0.0,0
glm-5.3-flash,advisory_minus_none,p_unresolved,0.012378442813225421,0.003585544889892716,0.008792897923332705,-0.0014515931550796596,0.034936715467290914,0
glm-5.3-flash,advisory_minus_none,e_attempts,1.2709078361252273,1.1610619654097913,0.10984587071543594,0.03381577515581505,0.20336268448603878,0
glm-5.3-flash,advisory_minus_none,success_per_100_attempts,77.70992743249248,85.81923142736207,-8.109303994869592,-14.562388821553107,-2.5720154287354227,0
glm-5.3-flash,gate_minus_advisory,p_success,0.9645649036953385,0.9876215571867745,-0.02305665349143593,-0.07924323241685206,-0.0027572807040446064,0
glm-5.3-flash,gate_minus_advisory,p_wrong,0.0,0.0,0.0,0.0,0.0,0
glm-5.3-flash,gate_minus_advisory,p_wrong_tier3,0.0,0.0,0.0,0.0,0.0,0
glm-5.3-flash,gate_minus_advisory,p_unresolved,0.035435096304661524,0.012378442813225421,0.023056653491436103,0.002757280704044549,0.07924323241685213,0
glm-5.3-flash,gate_minus_advisory,e_attempts,1.4520881694794736,1.2709078361252273,0.18118033335424633,0.06271396721199268,0.3284917778611739,0
glm-5.3-flash,gate_minus_advisory,success_per_100_attempts,66.42605621124946,77.70992743249248,-11.283871221243018,-20.11608915458513,-3.984798301887616,0
deepseek-v4-flash,enforced_minus_advisory,p_success,0.978025597590815,0.9722358157140766,0.005789781876738398,-0.010683376942720956,0.02588723488139093,0
deepseek-v4-flash,enforced_minus_advisory,p_wrong,0.01847041847041847,0.024627224627224626,-0.006156806156806156,-0.027118055555555555,0.011683006535947713,0
deepseek-v4-flash,enforced_minus_advisory,p_wrong_tier3,0.0,0.0,0.0,0.0,0.0,0
deepseek-v4-flash,enforced_minus_advisory,p_unresolved,0.0035039839387665476,0.003136959658698789,0.00036702428006775856,-0.008425540504100885,0.009481942606549613,0
deepseek-v4-flash,enforced_minus_advisory,e_attempts,1.138632703850095,1.1220277307233826,0.016604973126712386,-0.03719278144867054,0.06823630901284433,0
deepseek-v4-flash,enforced_minus_advisory,success_per_100_attempts,85.89473974212983,86.6498918959219,-0.7551521537920678,-4.301885546018268,3.338094672633925,0
deepseek-v4-flash,advisory_minus_none,p_success,0.9722358157140766,0.9683135704874835,0.003922245226593124,-0.0125306189698978,0.024508910525568015,0
deepseek-v4-flash,advisory_minus_none,p_wrong,0.024627224627224626,0.025974025974025976,-0.0013468013468013497,-0.022727283896014545,0.01999490377594763,0
deepseek-v4-flash,advisory_minus_none,p_wrong_tier3,0.0,0.0,0.0,0.0,0.0,0
deepseek-v4-flash,advisory_minus_none,p_unresolved,0.003136959658698789,0.005712403538490495,-0.002575443879791706,-0.014170347605270434,0.0018357554217654768,0
deepseek-v4-flash,advisory_minus_none,e_attempts,1.1220277307233826,1.1717171717171717,-0.049689440993789136,-0.11751019559598008,0.006596244110630525,0
deepseek-v4-flash,advisory_minus_none,success_per_100_attempts,86.6498918959219,82.64055472263867,4.009337173283228,0.3128020392241876,8.595980866602035,0
deepseek-v4-flash,gate_minus_advisory,p_success,0.9645649036953385,0.9722358157140766,-0.007670912018738041,-0.060253825513474135,0.008647437279184616,0
deepseek-v4-flash,gate_minus_advisory,p_wrong,0.0,0.024627224627224626,-0.024627224627224626,-0.053586990351696236,-0.004830871423262727,0
deepseek-v4-flash,gate_minus_advisory,p_wrong_tier3,0.0,0.0,0.0,0.0,0.0,0
deepseek-v4-flash,gate_minus_advisory,p_unresolved,0.035435096304661524,0.003136959658698789,0.03229813664596273,0.011025895721491388,0.09726982354223115,0
deepseek-v4-flash,gate_minus_advisory,e_attempts,1.4520881694794736,1.1220277307233826,0.33006043875609103,0.20868515970281876,0.4957936523024619,0
deepseek-v4-flash,gate_minus_advisory,success_per_100_attempts,66.42605621124946,86.6498918959219,-20.223835684672437,-28.223487794624432,-13.940011370560736,0
